,name,KIC,Insolation,Period,T_eff,Radius,masse_est,semi_au,st_log_lum,Discovery,H_Tidal,H_Radio,H_Total,TSM,Contrast,Theta,KOI,Kepler-ID,TTVperiod,TTVperiod_e,Epoch,Epoch_e,RpRs,RpRs_p,RpRs_m,b,b_ep,b_em,rhostar_model,rhostar_model_ep,rhostar_model_em,u1,u2,nTTobs,nTT,TTVflag,tdepth,tdepth_e,tdur,tdur_e,tduravg,tduravg_e,radius,radius_ep,radius_em,SNR,SNRwoTTV-SNRwTTV,MES,chisqwttv,chisqwottv,dchisq_inj,adrs,adrs_ep,adrs_em,incl,incl_ep,incl_em,s0,s0_ep,s0_em,kepmag,stellar_source,rhostar,rhostar_ep,rhostar_em,teff,teff_e,rstar,rstar_ep,rstar_em,mstar,mstar_ep,mstar_em,logg,logg_ep,logg_em,[M/H],[M/H]_e,StatusFlag,rhostar_model_lc,Epoch_lc,Per_lc,b_lc,RpRs_lc,lcflag,ttvper_cor,ttvper_cor_err
0,KOI-4427.01,4172805,0.318849329,147.661729,199.2397708,1.797673469,3.885903717,0.447411607,-1.195, Kepler,42690502488.0,337000000000000.0,337000000000000.0,2.627649534,7.26e-09,0.00164248,4427.01,,147.66195167,0.00174782,767.598937,0.00843,0.030003,0.002456,-0.001689,0.0016,0.6112,-0.0016,5.24698,0.98039,-3.22127,0.4229,0.3019,7,7,1,1067.8,100.2,6.28191,0.366769,6.010867,0.319828,1.818,0.16,-0.126,13.2,-0.13,10.8,332.5,336.0,0.0,183.5563,15.4584,-40.5782,89.9645,0.0355,-0.213,0.32,0.03,-0.02,15.645,1,4.48072,0.26376,-0.24369,3895,76,0.55,0.01,-0.01,0.55,0.01,-0.01,4.687,0.013,-0.013,0.073,0.117,PPPP,5.34392,176.95248,147.6615872,0.1777,0.029542,0,2.4e-06,1.184e-05
1,KOI-4848.01,9005321,0.160519346,384.6961,167.8268727,1.88,4.192847647,0.903100972,-0.883, Kepler,21971081931.0,386000000000000.0,386000000000000.0,1.401343894,1.95e-09,0.00191335,4848.01,,384.69233457,0.01596747,682.792696,0.016793,0.022819,0.003157,-0.002481,0.3654,0.3728,-0.3063,10.7294,15.46539,-10.31026,0.5022,0.2168,4,4,1,602.8,119.5,6.227545,0.795841,5.890226,0.797473,1.663,0.208,-0.227,7.5,-0.47,0.0,197.2,199.0,0.0,468.2216,72.6517,-174.3642,89.9849,0.0151,-0.0979,0.16,0.01,-0.01,15.677,1,3.25651,0.29255,-0.27488,4278,75,0.66,0.02,-0.02,0.66,0.03,-0.02,4.623,0.024,-0.025,0.074,0.123,PPNN,7.24791,298.101705,384.69130819,0.5961,0.023956,0,0.0,0.0
2,KOI-7716.01,5097856,0.434274458,483.36405,215.2388825,1.503481894,2.868942907,1.153766318,-0.238, Kepler,470475881.7,197000000000000.0,197000000000000.0,0.839123963,7.64e-10,0.001500932,7716.01,,483.36609834,0.04573403,416.077518,0.055609,0.015444,0.001531,-0.001531,0.6143,0.0541,-0.5748,0.83156,0.34371,-0.75615,0.3251,0.3056,3,3,0,264.8,44.4,15.618606,2.046114,15.22651,2.041418,1.408,0.194,-0.141,8.3,-0.14,7.1,379.3,385.0,0.0,230.906,31.8973,-75.7562,89.9615,0.0384,-0.192,0.43,0.04,-0.04,14.861,1,1.97916,0.26289,-0.28402,5451,98,0.85,0.04,-0.04,0.88,0.05,-0.06,4.52,0.036,-0.051,-0.08,0.151,PPPN,0.46559,416.078702,483.36580522,0.6703,0.016258,0,0.0,0.0
3,KOI-5087.01,4770798,0.33287507,651.07431,201.3955984,1.141911182,1.563745387,1.441648434,-0.16, Kepler,15844726.82,86500000000000.0,86500000000000.0,1.533627994,2.82e-10,0.004759486,5087.01,,651.05759568,0.01106859,149.416136,0.014729,0.011484,0.001204,-0.001103,0.126,0.5025,-0.0965,27.29893,8.99488,-19.48891,0.4535,0.2341,3,3,1,153.3,25.9,5.479895,0.507559,5.480202,0.482993,1.173,0.123,-0.123,8.0,-0.01,0.0,145.8,146.0,0.0,862.4247,105.2154,-210.4308,89.9912,0.0088,-0.0469,0.33,0.03,-0.03,12.524,1,1.64463,0.1453,-0.16053,5457,89,0.93,0.02,-0.02,0.94,0.05,-0.06,4.475,0.031,-0.039,0.135,0.129,PPNN,30.93991,149.418856,651.05767151,0.0689,0.011329,0,0.0,0.0
4,KOI-5227.01,6034834,0.5989825,371.56492,233.2561969,1.611944444,3.2291135,0.967816301,-0.251, Kepler,2518710205.0,243000000000000.0,243000000000000.0,1.520763125,1.25e-09,0.001904026,5227.01,,371.67830047,0.03323676,564.340009,0.07336,0.015902,0.001524,-0.001143,0.4227,0.2878,-0.3732,0.84407,0.37156,-0.74311,0.3698,0.2791,3,3,0,294.8,34.0,14.700269,1.583159,14.440929,1.485427,1.451,0.14,-0.115,10.9,-0.79,0.0,344.7,364.0,0.0,193.765,34.4089,-54.4808,89.9419,0.0581,-0.2324,0.59,0.05,-0.04,14.058,1,2.15394,0.13391,-0.18604,5486,95,0.83,0.02,-0.02,0.88,0.03,-0.05,4.543,0.02,-0.034,-0.134,0.136,PPNN,0.94893,192.587124,371.71546332,0.2153,0.015949,0,0.0,0.0
5,KOI-5236.01,6067545,0.811568592,550.86514,251.6581297,1.921434978,4.350944247,1.334557789,0.16, Kepler,699406407.7,412000000000000.0,412000000000000.0,1.88368548,9.33e-10,0.002570907,5236.01,,550.86495539,0.01295449,240.687722,0.013292,0.017058,0.001071,-0.00067,0.0266,0.6028,-0.002,1.44994,0.22364,-0.78273,0.3811,0.278,3,3,1,345.6,21.0,14.653965,0.578334,14.32601,0.490948,1.943,0.133,-0.095,20.8,-0.14,12.1,331.5,332.0,0.0,286.4123,17.235,-61.5536,89.9749,0.0251,-0.1319,0.77,0.04,-0.04,13.093,2,1.2705,0.08373,-0.05459,6088,65,1.04,0.02,-0.02,1.0,0.03,-0.03,4.426,0.053,0.053,-0.186,0.042,PPFP,1.58121,240.689956,550.86407306,0.0417,0.016879,0,0.0,0.0
6,KOI-5130.01,5166811,0.430720069,370.05918,214.7971099,1.9,4.268858077,0.938773661,-0.4206831, Kepler,1127595144.0,398000000000000.0,398000000000000.0,1.134143978,1.84e-09,0.001021606,5130.01,,370.06927726,0.02168677,614.513757,0.049997,0.02432,0.002405,-0.001889,0.1493,0.5444,-0.1016,1.34213,0.30182,-0.99168,0.4957,0.2038,4,4,0,711.9,84.3,12.698286,1.043552,12.198508,0.975263,1.988,0.409,-0.234,11.0,-0.29,0.0,401.1,412.0,0.0,216.2607,24.6868,-56.7797,89.9693,0.0306,-0.2067,0.43,0.07,-0.06,15.612,0,2.59,0.5776,-0.674,5232,158,0.76,0.11,-0.07,0.8,0.09,-0.08,4.582,0.042,-0.084,-0.18,0.3,PPNN,1.35348,244.445579,370.0686563,0.3853,0.024591,0,0.0,0.0
7,KOI-5408.01,7631138,0.354581914,415.748785,204.6014945,1.710821382,3.572556166,1.034288534,-0.421, Kepler,382675296.4,291000000000000.0,291000000000000.0,1.65937389,1.23e-09,0.00237331,5408.01,,415.77194539,0.01316991,443.083033,0.013325,0.018473,0.001889,-0.002645,0.5904,0.0504,-0.5509,62.95475,140.93289,-60.39981,0.5201,0.189,3,3,1,391.4,82.1,2.783187,0.778505,2.68407,0.771787,1.61,0.193,-0.228,6.6,0.06,0.0,86.9,86.0,0.0,887.2277,437.3982,-218.6991,89.9928,0.0072,-0.0342,0.35,0.03,-0.02,14.03,1,2.24721,0.14793,-0.18824,5026,77,0.81,0.02,-0.01,0.85,0.04,-0.05,4.551,0.023,-0.033,0.171,0.12,SPNN,72.55306,443.082278,415.76550886,0.7029,0.019022,0,0.0,0.0
8,KOI-5789.01,10387792,0.319386111,383.26217,199.3235729,1.532864652,2.964782819,0.944804573,-0.545, Kepler,556022778.2,209000000000000.0,209000000000000.0,1.655274879,1.18e-09,0.002473958,5789.01,,383.262167,0.0,532.454167,0.0,0.0182,0.0,-0.0,0.3,0.0,-0.0,10.4775,0.0,-0.0,0.5225,0.185,4,4,0,406.2,0.0,6.574667,0.0,6.445747,0.0,1.468,0.003,-0.004,9.4,-0.0,0.0,206.0,206.0,0.0,433.3087,0.0,-0.0,89.9603,0.0,-0.0,0.32,0.0,-0.0,14.06,1,2.61739,0.17413,-0.18744,4889,79,0.74,0.01,-0.01,0.77,0.03,-0.04,4.579,0.023,-0.029,-0.055,0.113,PPNN,10.4775,149.192,383.262167,0.3,0.0182,1,0.0,0.0
9,KOI-5798.01,10487228,0.403586971,318.25858,211.3313568,1.963135705,4.512474992,0.834701956,-0.551, Kepler,2157381830.0,439000000000000.0,439000000000000.0,1.181349833,2.49e-09,0.001076479,5798.01,,318.260413,0.0,527.443703,0.0,0.023374,0.0,-0.0,0.0179,0.0,-0.0,43.43458,0.0,-0.0,0.5654,0.1546,5,5,1,694.1,0.0,4.045428,0.0,3.953003,0.0,1.728,0.06,-0.013,5.7,-0.15,0.0,174.7,177.0,0.0,614.9613,0.0,-0.0,89.9983,0.0,-0.0,0.38,0.0,-0.0,15.714,2,2.758,0.12169,-0.17502,4971,64,0.7,0.03,-0.03,0.79,0.02,-0.02,4.559,0.037,0.037,0.034,0.042,SPNN,43.43458,209.18329,318.260413,0.0179,0.023374,1,0.0,0.0
